67106,"Karn, Scion of Urza"
67108,"Adamant Will"
67110,"Aven Sentry"
67112,"Baird, Steward of Argive"
67114,"Benalish Honor Guard"
67116,"Benalish Marshal"
67118,"Blessed Light"
67120,"Board the Weatherlight"
67122,"Call the Cavalry"
67124,"Charge"
67126,"D'Avenant Trapper"
67128,"Danitha Capashen, Paragon"
67130,"Daring Archaeologist"
67132,"Dauntless Bodyguard"
67134,"Dub"
67136,"Evra, Halcyon Witness"
67138,"Excavation Elephant"
67140,"Fall of the Thran"
67142,"Gideon's Reproach"
67144,"Healing Grace"
67146,"History of Benalia"
67148,"Invoke the Divine"
67150,"Knight of Grace"
67152,"Knight of New Benalia"
67154,"Kwende, Pride of Femeref"
67156,"Lyra Dawnbringer"
67158,"Mesa Unicorn"
67160,"On Serra's Wings"
67162,"Pegasus Courser"
67164,"Sanctum Spirit"
67166,"Seal Away"
67168,"Sergeant-at-Arms"
67170,"Serra Angel"
67172,"Serra Disciple"
67174,"Shalai, Voice of Plenty"
67176,"Teshar, Ancestor's Apostle"
67178,"Tragic Poet"
67180,"Triumph of Gerrard"
67182,"Urza's Ruinous Blast"
67184,"Academy Drake"
67186,"Academy Journeymage"
67188,"The Antiquities War"
67190,"Arcane Flight"
67192,"Artificer's Assistant"
67194,"Befuddle"
67196,"Blink of an Eye"
67198,"Cloudreader Sphinx"
67200,"Cold-Water Snapper"
67202,"Curator's Ward"
67204,"Deep Freeze"
67206,"Diligent Excavator"
67208,"Divination"
67210,"Homarid Explorer"
67212,"In Bolas's Clutches"
67214,"Karn's Temporal Sundering"
67216,"Merfolk Trickster"
67218,"The Mirari Conjecture"
67220,"Naban, Dean of Iteration"
67222,"Naru Meha, Master Wizard"
67224,"Opt"
67226,"Precognition Field"
67228,"Relic Runner"
67230,"Rescue"
67232,"Sage of Lat-Nam"
67234,"Sentinel of the Pearl Trident"
67236,"Slinn Voda, the Rising Deep"
67238,"Syncopate"
67240,"Tempest Djinn"
67242,"Tetsuko Umezawa, Fugitive"
67244,"Time of Ice"
67246,"Tolarian Scholar"
67248,"Unwind"
67250,"Vodalian Arcanist"
67252,"Weight of Memory"
67254,"Wizard's Retort"
67256,"Zahid, Djinn of the Lamp"
67258,"Blessing of Belzenlok"
67260,"Cabal Evangel"
67262,"Cabal Paladin"
67264,"Caligo Skin-Witch"
67266,"Cast Down"
67268,"Chainer's Torment"
67270,"Dark Bargain"
67272,"Deathbloom Thallid"
67274,"Demonic Vigor"
67276,"Demonlord Belzenlok"
67278,"Divest"
67280,"Dread Shade"
67282,"Drudge Sentinel"
67284,"The Eldest Reborn"
67286,"Eviscerate"
67288,"Feral Abomination"
67290,"Final Parting"
67292,"Fungal Infection"
67294,"Josu Vess, Lich Knight"
67296,"Kazarov, Sengir Pureblood"
67298,"Knight of Malice"
67300,"Lich's Mastery"
67302,"Lingering Phantom"
67304,"Phyrexian Scriptures"
67306,"Rat Colony"
67308,"Rite of Belzenlok"
67310,"Settle the Score"
67312,"Soul Salvage"
67314,"Stronghold Confessor"
67316,"Thallid Omnivore"
67318,"Thallid Soothsayer"
67320,"Torgaar, Famine Incarnate"
67322,"Urgoros, the Empty One"
67324,"Vicious Offering"
67326,"Whisper, Blood Liturgist"
67328,"Windgrace Acolyte"
67330,"Yargle, Glutton of Urborg"
67332,"Yawgmoth's Vile Offering"
67334,"Bloodstone Goblin"
67336,"Champion of the Flame"
67338,"Fervent Strike"
67340,"Fiery Intervention"
67342,"Fight with Fire"
67344,"Fire Elemental"
67346,"Firefist Adept"
67348,"The First Eruption"
67350,"The Flame of Keld"
67352,"Frenzied Rage"
67354,"Ghitu Chronicler"
67356,"Ghitu Journeymage"
67358,"Ghitu Lavarunner"
67360,"Goblin Barrage"
67362,"Goblin Chainwhirler"
67364,"Goblin Warchief"
67366,"Haphazard Bombardment"
67368,"Jaya Ballard"
67370,"Jaya's Immolating Inferno"
67372,"Keldon Overseer"
67374,"Keldon Raider"
67376,"Keldon Warcaller"
67378,"Orcish Vandal"
67380,"Radiating Lightning"
67382,"Rampaging Cyclops"
67384,"Run Amok"
67386,"Seismic Shift"
67388,"Shivan Fire"
67390,"Siege-Gang Commander"
67392,"Skirk Prospector"
67394,"Skizzik"
67396,"Squee, the Immortal"
67398,"Two-Headed Giant"
67400,"Valduk, Keeper of the Flame"
67402,"Verix Bladewing"
67404,"Warcry Phoenix"
67406,"Warlord's Fury"
67408,"Wizard's Lightning"
67410,"Adventurous Impulse"
67412,"Ancient Animus"
67414,"Arbor Armament"
67416,"Baloth Gorger"
67418,"Broken Bond"
67420,"Corrosive Ooze"
67422,"Elfhame Druid"
67424,"Fungal Plots"
67426,"Gaea's Blessing"
67428,"Gaea's Protector"
67430,"Gift of Growth"
67432,"Grow from the Ashes"
67434,"Grunn, the Lonely King"
67436,"Kamahl's Druidic Vow"
67438,"Krosan Druid"
67440,"Llanowar Elves"
67442,"Llanowar Envoy"
67444,"Llanowar Scout"
67446,"Mammoth Spider"
67448,"Marwyn, the Nurturer"
67450,"The Mending of Dominaria"
67452,"Multani, Yavimaya's Avatar"
67454,"Nature's Spiral"
67456,"Pierce the Sky"
67458,"Primordial Wurm"
67460,"Saproling Migration"
67462,"Song of Freyalise"
67464,"Spore Swarm"
67466,"Sporecrown Thallid"
67468,"Steel Leaf Champion"
67470,"Sylvan Awakening"
67472,"Territorial Allosaurus"
67474,"Thorn Elemental"
67476,"Untamed Kavu"
67478,"Verdant Force"
67480,"Wild Onslaught"
67482,"Yavimaya Sapherd"
67484,"Adeliz, the Cinder Wind"
67486,"Arvad the Cursed"
67488,"Aryel, Knight of Windgrace"
67490,"Darigaaz Reincarnated"
67492,"Garna, the Bloodflame"
67494,"Grand Warlord Radha"
67496,"Hallar, the Firefletcher"
67498,"Jhoira, Weatherlight Captain"
67500,"Jodah, Archmage Eternal"
67502,"Muldrotha, the Gravetide"
67504,"Oath of Teferi"
67506,"Primevals' Glorious Rebirth"
67508,"Raff Capashen, Ship's Mage"
67510,"Rona, Disciple of Gix"
67512,"Shanna, Sisay's Legacy"
67514,"Slimefoot, the Stowaway"
67516,"Tatyova, Benthic Druid"
67518,"Teferi, Hero of Dominaria"
67520,"Tiana, Ship's Caretaker"
67522,"Aesthir Glider"
67524,"Amaranthine Wall"
67526,"Blackblade Reforged"
67528,"Bloodtallow Candle"
67530,"Damping Sphere"
67532,"Forebear's Blade"
67534,"Gilded Lotus"
67536,"Guardians of Koilos"
67538,"Helm of the Host"
67540,"Howling Golem"
67542,"Icy Manipulator"
67544,"Jhoira's Familiar"
67546,"Jousting Lance"
67548,"Juggernaut"
67550,"Mishra's Self-Replicator"
67552,"Mox Amber"
67554,"Navigator's Compass"
67556,"Pardic Wanderer"
67558,"Powerstone Shard"
67560,"Shield of the Realm"
67562,"Short Sword"
67564,"Skittering Surveyor"
67566,"Sorcerer's Wand"
67568,"Sparring Construct"
67570,"Thran Temporal Gateway"
67572,"Traxos, Scourge of Kroog"
67574,"Urza's Tome"
67576,"Voltaic Servant"
67578,"Weatherlight"
67580,"Cabal Stronghold"
67582,"Clifftop Retreat"
67584,"Hinterland Harbor"
67586,"Isolated Chapel"
67588,"Memorial to Folly"
67590,"Memorial to Genius"
67592,"Memorial to Glory"
67594,"Memorial to Unity"
67596,"Memorial to War"
67598,"Sulfur Falls"
67600,"Woodland Cemetery"
67602,"Zhalfirin Void"
67604,"Plains"
67606,"Plains"
67608,"Plains"
67610,"Plains"
67612,"Island"
67614,"Island"
67616,"Island"
67618,"Island"
67620,"Swamp"
67622,"Swamp"
67624,"Swamp"
67626,"Swamp"
67628,"Mountain"
67630,"Mountain"
67632,"Mountain"
67634,"Mountain"
67636,"Forest"
67638,"Forest"
67640,"Forest"
67642,"Forest"
67644,"Teferi, Timebender"
67646,"Temporal Machinations"
67648,"Niambi, Faithful Healer"
67650,"Teferi's Sentinel"
67652,"Meandering River"
67654,"Chandra, Bold Pyromancer"
67656,"Chandra's Outburst"
67658,"Karplusan Hound"
67660,"Pyromantic Pilgrim"
67662,"Timber Gorge"
68369,"Firesong and Sunspeaker"
69451,"Teferi, Hero of Dominaria"