68462,"Blade Instructor"
68463,"Bounty Agent"
68464,"Candlelight Vigil"
68465,"Citywide Bust"
68466,"Collar the Culprit"
68467,"Conclave Tribunal"
68468,"Crush Contraband"
68469,"Dawn of Hope"
68470,"Demotion"
68471,"Divine Visitation"
68472,"Flight of Equenauts"
68473,"Gird for Battle"
68474,"Haazda Marshal"
68475,"Healer's Hawk"
68476,"Hunted Witness"
68477,"Inspiring Unicorn"
68478,"Intrusive Packbeast"
68479,"Ledev Guardian"
68480,"Light of the Legion"
68481,"Loxodon Restorer"
68482,"Luminous Bonds"
68483,"Parhelion Patrol"
68484,"Righteous Blow"
68485,"Roc Charger"
68486,"Skyline Scout"
68487,"Sunhome Stalwart"
68488,"Sworn Companions"
68489,"Take Heart"
68490,"Tenth District Guard"
68491,"Venerated Loxodon"
68492,"Capture Sphere"
68493,"Chemister's Insight"
68494,"Citywatch Sphinx"
68495,"Dazzling Lights"
68496,"Devious Cover-Up"
68497,"Dimir Informant"
68498,"Disdainful Stroke"
68499,"Dream Eater"
68500,"Drowned Secrets"
68501,"Enhanced Surveillance"
68502,"Guild Summit"
68503,"Leapfrog"
68504,"Maximize Altitude"
68505,"Mission Briefing"
68506,"Murmuring Mystic"
68507,"Muse Drake"
68508,"Narcomoeba"
68509,"Nightveil Sprite"
68510,"Omnispell Adept"
68511,"Passwall Adept"
68512,"Quasiduplicate"
68513,"Radical Idea"
68514,"Selective Snare"
68515,"Sinister Sabotage"
68516,"Thoughtbound Phantasm"
68517,"Unexplained Disappearance"
68518,"Vedalken Mesmerist"
68519,"Wall of Mist"
68520,"Watcher in the Mist"
68521,"Wishcoin Crab"
68522,"Barrier of Bones"
68523,"Bartizan Bats"
68524,"Blood Operative"
68525,"Burglar Rat"
68526,"Child of Night"
68527,"Creeping Chill"
68528,"Dead Weight"
68529,"Deadly Visit"
68530,"Doom Whisperer"
68531,"Douser of Lights"
68532,"Gruesome Menagerie"
68533,"Hired Poisoner"
68534,"Kraul Swarm"
68535,"Lotleth Giant"
68536,"Mausoleum Secrets"
68537,"Mephitic Vapors"
68538,"Midnight Reaper"
68539,"Moodmark Painter"
68540,"Necrotic Wound"
68541,"Never Happened"
68542,"Pilfering Imp"
68543,"Plaguecrafter"
68544,"Price of Fame"
68545,"Ritual of Soot"
68546,"Severed Strands"
68547,"Spinal Centipede"
68548,"Undercity Necrolisk"
68549,"Veiled Shade"
68550,"Vicious Rumors"
68551,"Whispering Snitch"
68552,"Arclight Phoenix"
68553,"Barging Sergeant"
68554,"Book Devourer"
68555,"Command the Storm"
68556,"Cosmotronic Wave"
68557,"Direct Current"
68558,"Electrostatic Field"
68559,"Erratic Cyclops"
68560,"Experimental Frenzy"
68561,"Fearless Halberdier"
68562,"Fire Urchin"
68563,"Goblin Banneret"
68564,"Goblin Cratermaker"
68565,"Goblin Locksmith"
68566,"Gravitic Punch"
68567,"Hellkite Whelp"
68568,"Inescapable Blaze"
68569,"Lava Coil"
68570,"Legion Warboss"
68571,"Maniacal Rage"
68572,"Maximize Velocity"
68573,"Ornery Goblin"
68574,"Risk Factor"
68575,"Rubblebelt Boar"
68576,"Runaway Steam-Kin"
68577,"Smelt-Ward Minotaur"
68578,"Street Riot"
68579,"Sure Strike"
68580,"Torch Courier"
68581,"Wojek Bodyguard"
68582,"Affectionate Indrik"
68583,"Arboretum Elemental"
68584,"Beast Whisperer"
68585,"Bounty of Might"
68586,"Circuitous Route"
68587,"Crushing Canopy"
68588,"Devkarin Dissident"
68589,"District Guide"
68590,"Generous Stray"
68591,"Golgari Raiders"
68592,"Grappling Sundew"
68593,"Hatchery Spider"
68594,"Hitchclaw Recluse"
68595,"Ironshell Beetle"
68596,"Kraul Foragers"
68597,"Kraul Harpooner"
68598,"Might of the Masses"
68599,"Nullhide Ferox"
68600,"Pack's Favor"
68601,"Pause for Reflection"
68602,"Pelt Collector"
68603,"Portcullis Vine"
68604,"Prey Upon"
68605,"Siege Wurm"
68606,"Sprouting Renewal"
68607,"Urban Utopia"
68608,"Vigorspore Wurm"
68609,"Vivid Revival"
68610,"Wary Okapi"
68611,"Wild Ceratok"
68612,"Artful Takedown"
68613,"Assassin's Trophy"
68614,"Aurelia, Exemplar of Justice"
68615,"Beacon Bolt"
68616,"Beamsplitter Mage"
68617,"Boros Challenger"
68618,"Camaraderie"
68619,"Centaur Peacemaker"
68620,"Chance for Glory"
68621,"Charnel Troll"
68622,"Conclave Cavalier"
68623,"Conclave Guildmage"
68624,"Crackling Drake"
68625,"Darkblade Agent"
68626,"Deafening Clarion"
68627,"Dimir Spybug"
68628,"Disinformation Campaign"
68629,"Emmara, Soul of the Accord"
68630,"Erstwhile Trooper"
68631,"Etrata, the Silencer"
68632,"Firemind's Research"
68633,"Garrison Sergeant"
68634,"Glowspore Shaman"
68635,"Goblin Electromancer"
68636,"Golgari Findbroker"
68637,"Hammer Dropper"
68638,"House Guildmage"
68639,"Hypothesizzle"
68640,"Ionize"
68641,"Izoni, Thousand-Eyed"
68642,"Join Shields"
68643,"Justice Strike"
68644,"Knight of Autumn"
68645,"Lazav, the Multifarious"
68646,"League Guildmage"
68647,"Ledev Champion"
68648,"Legion Guildmage"
68649,"March of the Multitudes"
68650,"Mnemonic Betrayal"
68651,"Molderhulk"
68652,"Nightveil Predator"
68653,"Niv-Mizzet, Parun"
68654,"Notion Rain"
68655,"Ochran Assassin"
68656,"Ral, Izzet Viceroy"
68657,"Rhizome Lurcher"
68658,"Rosemane Centaur"
68659,"Skyknight Legionnaire"
68660,"Sonic Assault"
68661,"Sumala Woodshaper"
68662,"Swarm Guildmage"
68663,"Swathcutter Giant"
68664,"Swiftblade Vindicator"
68665,"Tajic, Legion's Edge"
68666,"Thief of Sanity"
68667,"Thought Erasure"
68668,"Thousand-Year Storm"
68669,"Trostani Discordant"
68670,"Truefire Captain"
68671,"Undercity Uprising"
68672,"Underrealm Lich"
68673,"Unmoored Ego"
68674,"Vraska, Golgari Queen"
68675,"Wee Dragonauts"
68676,"Worldsoul Colossus"
68677,"Fresh-Faced Recruit"
68678,"Piston-Fist Cyclops"
68679,"Pitiless Gorgon"
68680,"Vernadi Shieldmate"
68681,"Whisper Agent"
68682,"Assure/Assemble"
68683,"Assure"
68684,"Assemble"
68685,"Connive/Concoct"
68686,"Connive"
68687,"Concoct"
68688,"Discovery/Dispersal"
68689,"Discovery"
68690,"Dispersal"
68691,"Expansion/Explosion"
68692,"Expansion"
68693,"Explosion"
68694,"Find/Finality"
68695,"Find"
68696,"Finality"
68697,"Flower/Flourish"
68698,"Flower"
68699,"Flourish"
68700,"Integrity/Intervention"
68701,"Integrity"
68702,"Intervention"
68703,"Invert/Invent"
68704,"Invert"
68705,"Invent"
68706,"Response/Resurgence"
68707,"Response"
68708,"Resurgence"
68709,"Status/Statue"
68710,"Status"
68711,"Statue"
68712,"Boros Locket"
68713,"Chamber Sentry"
68714,"Chromatic Lantern"
68715,"Dimir Locket"
68716,"Gatekeeper Gargoyle"
68717,"Glaive of the Guildpact"
68718,"Golgari Locket"
68719,"Izzet Locket"
68720,"Rampaging Monument"
68721,"Selesnya Locket"
68722,"Silent Dart"
68723,"Wand of Vertebrae"
68724,"Boros Guildgate"
68725,"Boros Guildgate"
68726,"Dimir Guildgate"
68727,"Dimir Guildgate"
68728,"Gateway Plaza"
68729,"Golgari Guildgate"
68730,"Golgari Guildgate"
68731,"Guildmages' Forum"
68732,"Izzet Guildgate"
68733,"Izzet Guildgate"
68734,"Overgrown Tomb"
68735,"Sacred Foundry"
68736,"Selesnya Guildgate"
68737,"Selesnya Guildgate"
68738,"Steam Vents"
68739,"Temple Garden"
68740,"Watery Grave"
68741,"Plains"
68742,"Island"
68743,"Swamp"
68744,"Mountain"
68745,"Forest"